"","SPECIES","sum_inds"
"1","Achillea millefolium",46796
"2","Anthriscus caucalis",2100
"3","Bellis perennis",17905
"4","Brassica rapa",171
"5","Campanula rapunculoides",16
"6","Capsella bursa-pastoris",1992
"7","Cardamine hirsuta",176
"8","Centaurea cyanus",147
"9","Cerastium glomeratum",1833
"10","Cheiranthus allionii",207
"11","Chenopodium sp.",2000
"12","Convulvulus arvensis",4
"13","Coreopsis lanceolata",7
"14","Corydalis scouleri",323
"15","Crepis capillaris",1596
"16","Delphinium consolida",3968
"17","Dianthus barbatus",207
"18","Diplotaxis tenuifolia",6
"19","Epilobium ciliatum",12
"20","Erodium cicutarium",267
"21","Eschscholzia californica",473
"22","Foeniculum vulgare",273
"23","Fragaria x ananassa",1
"24","Gallium aparine",491
"25","Geranium molle",10
"26","Geranium robertianum",10
"27","Helianthus annus",1
"28","Hesperis matronalis",796
"29","Hyacinthoides non-scripta",272
"30","Hypericum anagalloides",379
"31","Hypochaeris radicata",1394
"32","Lamium purpureum",1795
"33","Layia platyglossa",2
"34","Lepidium campestre",72
"35","Leucanthemum vulgare",20
"36","Limnanthes douglasii",165
"37","Linum lewisii",6
"38","Lobularia maritima",4
"39","Lupinus polyphyllus",2572
"40","Matricaria discoidea",18
"41","Medicago sativa",1676
"42","Melilotus alba",5909
"43","Mycelis muralis",40
"44","Myosotis sylvatica",17
"45","Nemophila menziesii",313
"46","Papaver sp.",44
"47","Persicaria maculosa",88
"48","Plantago lanceolata",264
"49","Plantago majus",36
"50","Plantago sp.",9
"51","Prunella vulgaris",3109
"52","Ranunculus acris",408
"53","Ranunculus repens",4178
"54","Rorippa palustris",3143
"55","Rumex sp.",64
"56","Senecio vulgaris",90
"57","Sisymbrium officinale",342
"58","Solanum dulcamara",12
"59","Sonchus arvensis",5
"60","Stellaria media",2807
"61","Sysimbrium officinale",195
"62","Taraxacum officinale",260
"63","Trifolium dubium",17452
"64","Trifolium incanum",22
"65","Trifolium pratense",1342
"66","Trifolium repens",13922
"67","Veronica arvensis",467
"68","Veronica serpyllifolia",2
"69","Vicia americana",43
"70","Vicia cracca",70
"71","Vicia hirsuta",336
"72",NA,NA
